company_a,company_b,representative_text_a,representative_text_b,representative_path_a,representative_path_b,category
ByteDance,DeepSeek,we may share your personal information with third,we may share your personal information with third,privacy_policies/new_unique_text_PP/ByteDance_doubao_PP/20240529154215/privacy-policy.txt,privacy_policies/new_unique_text_PP/DeepSeek_old_PP/20231208073102/DeepSeek%20Privacy%20Policy.txt,Third Party Sharing/Collection
Anthropic,xAI,subject to certain exceptions. please note that we,subject to certain exceptions.please note that we,privacy_policies/new_unique_text_PP/Anthropic_PP/20240225205441/privacy.txt,privacy_policies/new_unique_text_PP/xAI_PP/20250124023459/privacy-policy.txt,Other
Anthropic,xAI,"subject to certain exceptions. please note that we cannot guarantee the factual accuracy of outputs. if outputs contain factually inaccurate personal data relating to you, you can submit a correction request and we will make every effort to correct this information—but due to the technical complexity of our large language models, it may not always be possible for us to do so","subject to certain exceptions.please note that we cannot guarantee the factual accuracy of output from our models. if output contains factually inaccurate personal information relating to you, you can submit a correction request and we will make every effort to correct this information — but due to the technical complexity of our models, it may not always be possible for us to do so",privacy_policies/new_unique_text_PP/Anthropic_PP/20240225205441/privacy.txt,privacy_policies/new_unique_text_PP/xAI_PP/20250103080755/privacy-policy.txt,"User Access, Edit and Deletion"
DeepSeek,OpenAI,"information that your browser or device automatically sends when you use our services. log data includes your internet protocol address, browser type and settings, the date and time of your request, and how you interact with our services. log data usage information. we collect information regarding your use of the services, such as the features you use and the actions you take. usage information device information. we collect certain information about the device you use to access the services, such as","information that your browser or device automatically sends when you use our services. log data includes your internet protocol address, browser type and settings, the date and time of your request, and how you interact with our services. usage data: we collect information about your use of the services, such as the types of content that you view or engage with, the features you use and the actions you take, as well as your time zone, country, the dates and times of access, user agent and version, type of computer or mobile device, and your computer connection. device information: we collect information about the device you use to access the services, such as",privacy_policies/new_unique_text_PP/DeepSeek_old_PP/20240520220020/DeepSeek%20Privacy%20Policy.txt,privacy_policies/new_unique_text_PP/OpenAI_EU_PP/20241104000000/eu-privacy-policy.txt,First-party Data Collection
Anthropic,DeepSeek,"our business, employees and users from illegal activities","our business, employees and users from illegal activities",privacy_policies/new_unique_text_PP/Anthropic_PP/20240304151321/privacy.txt,privacy_policies/new_unique_text_PP/DeepSeek_PP/20250214185351/deepseek-privacy-policy.txt,Other
Anthropic,OpenAI,"collect your name, contact information, and the contents of any messages you send. communication information","collect your name, contact information, and the contents of any messages you send (“communication information",privacy_policies/new_unique_text_PP/Anthropic_PP/20240607083447/privacy.txt,privacy_policies/new_unique_text_PP/OpenAI_PP/20230314210410/privacy-policy.txt,First-party Data Collection
Cohere,OpenAI,"purposes, as described above:provide, analyze and maintain","purposes, as described above:provide, analyze, and maintain",privacy_policies/new_unique_text_PP/Cohere_PP/20260412090021/privacy.txt,privacy_policies/new_unique_text_PP/OpenAI_PP/20260210054215/index.txt,Other
Anthropic,Mistral,"you have the right to lodge a complaint with the supervisory authority in the eu country in which you live or work. a full list of eu supervisory authorities’ contact details is available here . if you live or work in the <JURISDICTION> , you have the right to lodge a complaint",you have the right to lodge a complaint,privacy_policies/new_unique_text_PP/Anthropic_old_PP/20230309171545/legal.txt,privacy_policies/new_unique_text_PP/Mistral_old_PP/20231211094117/Policy.txt,International and Specific Audiences
Cohere,OpenAI,"communicate with you, including to send you information about our",communicate with you; including to send you information about our,privacy_policies/new_unique_text_PP/Cohere_PP/20260412090021/privacy.txt,privacy_policies/new_unique_text_PP/OpenAI_PP/20231114221748/privacy-policy.txt,Other
OpenAI,xAI,our use of your information to train our,our use of your information to train our,privacy_policies/new_unique_text_PP/OpenAI_EU_PP/20231115012513/eu-privacy-policy.txt,privacy_policies/new_unique_text_PP/xAI_PP/20241117131907/privacy-policy.txt,Model Training
DeepSeek,xAI,of all or a portion of our business,of all or a portion of our business,privacy_policies/new_unique_text_PP/DeepSeek_old_PP/20241212153808/DeepSeek%20Privacy%20Policy.txt,privacy_policies/new_unique_text_PP/xAI_PP/20241110065240/privacy-policy.txt,Other
OpenAI,xAI,"for individuals in the european economic area, <JURISDICTION> , and <JURISDICTION>","for individuals in the european economic area, <JURISDICTION> , and <JURISDICTION>",privacy_policies/new_unique_text_PP/OpenAI_PP/20241203173911/privacy-policy.txt,privacy_policies/new_unique_text_PP/xAI_PP/20250215010404/privacy-policy.txt,International and Specific Audiences
Alibaba,OpenAI,"to prevent fraud, illegal activity, or misuses of","to prevent fraud, illegal activity, or misuses of",privacy_policies/new_unique_text_PP/Alibaba_old_PP/20250120114200/Qwen.txt,privacy_policies/new_unique_text_PP/OpenAI_EU_PP/20241104000000/eu-privacy-policy.txt,Data Security
Anthropic,DeepSeek,"when you access our services, your personal data","when you access our services, your personal data",privacy_policies/new_unique_text_PP/Anthropic_PP/20260609035417/privacy.txt,privacy_policies/new_unique_text_PP/DeepSeek_PP/20250214185351/deepseek-privacy-policy.txt,"User Access, Edit and Deletion"
DeepSeek,OpenAI,"to comply with applicable law or when we protect our or our affiliates’, users’, or third parties’ rights, safety, and property","to comply with applicable law or when we protect our or our affiliates’, users’, or third parties’ rights, safety, and property",privacy_policies/new_unique_text_PP/DeepSeek_PP/20250214185351/deepseek-privacy-policy.txt,privacy_policies/new_unique_text_PP/OpenAI_EU_PP/20231115012513/eu-privacy-policy.txt,Third Party Sharing/Collection
Anthropic,OpenAI,"with you, such as processing your contact information","with you, such as processing your contact information",privacy_policies/new_unique_text_PP/Anthropic_PP/20241219083518/privacy.txt,privacy_policies/new_unique_text_PP/OpenAI_EU_PP/20231222085448/eu-privacy-policy.txt,First-party Data Collection
Alibaba,OpenAI,"the rights, privacy, safety, or property of our","the rights, privacy, safety, or property of our users, us, our affiliates, or any third party to comply with legal obligations and to protect the rights, privacy, safety, or property of our",privacy_policies/new_unique_text_PP/Alibaba_old_PP/20250120114200/Qwen.txt,privacy_policies/new_unique_text_PP/OpenAI_EU_PP/20231222085448/eu-privacy-policy.txt,Third Party Sharing/Collection
OpenAI,xAI,the right to request deletion of your personal information; the right to,the right to request deletion of your personal information. the right to,privacy_policies/new_unique_text_PP/OpenAI_EU_PP/20231115012513/eu-privacy-policy.txt,privacy_policies/new_unique_text_PP/xAI_PP/20250103080755/privacy-policy.txt,"User Access, Edit and Deletion"
Anthropic,OpenAI,you have the right to withdraw your consent,you have the right to withdraw your consent,privacy_policies/new_unique_text_PP/Anthropic_PP/20240225205441/privacy.txt,privacy_policies/new_unique_text_PP/OpenAI_EU_PP/20231115012513/eu-privacy-policy.txt,User Choice/Control
Cohere,OpenAI,"for the following purposes, as described above: provide","for the following purposes, as described above:provide",privacy_policies/new_unique_text_PP/Cohere_PP/20251207072134/privacy.txt,privacy_policies/new_unique_text_PP/OpenAI_PP/20260210054215/index.txt,Other
Anthropic,xAI,violations of our terms including misuse of services,"violations of our terms including misuse of services, fraud, abuse, and other trust and safety protocols; detecting, preventing, and enforcing violations of our terms including misuse of services",privacy_policies/new_unique_text_PP/Anthropic_PP/20240225205441/privacy.txt,privacy_policies/new_unique_text_PP/xAI_PP/20241117131907/privacy-policy.txt,Data Security
OpenAI,xAI,"like instagram, facebook, medium, x, youtube and linkedin","like instagram, facebook, medium, x, youtube and linkedin",privacy_policies/new_unique_text_PP/OpenAI_EU_PP/20231222085448/eu-privacy-policy.txt,privacy_policies/new_unique_text_PP/xAI_PP/20241110065240/privacy-policy.txt,Other
Alibaba,OpenAI,"how to contact us if you have any questions about this privacy policy, or",how to contact us if you have any questions about this privacy policy or,privacy_policies/new_unique_text_PP/Alibaba_old_PP/20250120114200/Qwen.txt,privacy_policies/new_unique_text_PP/OpenAI_old_PP/20220323134726/privacy.txt,Other
OpenAI,xAI,"we use cookies and similar technologies to operate and administer our services, and improve your experience. for details about our use of cookies, please visit ourcookie notice. personal data we receive from other sources:we collect information from other sources, like information that is publicly available on the internet","we use cookies and similar technologies to operate and administer our services, and improve your experience. if you use our services without creating an account, we may store some of the information described in this privacy policy with cookies, for example to help maintain your preferences across browsing sessions. for details about our use of cookies, please read ourcookie policy. 2.3 personal information we receive from other sources 2.3 personal information we receive from other sources the personal information we receive from other sources may include: publicly available data: we use information that is publicly available on the internet",privacy_policies/new_unique_text_PP/OpenAI_EU_PP/20231222085448/eu-privacy-policy.txt,privacy_policies/new_unique_text_PP/xAI_PP/20250124023459/privacy-policy.txt,First-party Data Collection
DeepSeek,OpenAI,"automatically sends when you use our services. log data includes your internet protocol address, browser type and settings, the date and time of your request, and how you interact with our services. log data usage information. we collect information regarding your use of the services, such as the features you use and the actions you take","automatically sends when you use our services. log data includes your internet protocol address, browser type and settings, the date and time of your request, and how you interact with our website. usage data: we may automatically collect information about your use of the services, such as the types of content that you view or engage with, the features you use and the actions you take",privacy_policies/new_unique_text_PP/DeepSeek_old_PP/20240520220020/DeepSeek%20Privacy%20Policy.txt,privacy_policies/new_unique_text_PP/OpenAI_EU_PP/20231115012513/eu-privacy-policy.txt,First-party Data Collection
Alibaba,OpenAI,"our services are not directed to, or intended for, children under 13 (or the age stipulated by applicable laws and regulations in your jurisdiction). we do not knowingly collect personal data from children under 13. if you have reason to believe that a child under 13 has provided personal data to us through the services, please contact us through the channel disclosed in this privacy policy. we will investigate any notification and, if appropriate, delete the personal data from our systems","our services are not directed to, or intended for, children under 13. we do not knowingly collect personal data from children under 13. if you have reason to believe that a child under 13 has provided personal data to <PROVIDER> through the services, please email us at <EMAIL> ⁠. we will investigate any notification and, if appropriate, delete the personal data from our systems",privacy_policies/new_unique_text_PP/Alibaba_old_PP/20250120114200/Qwen.txt,privacy_policies/new_unique_text_PP/OpenAI_EU_PP/20241104000000/eu-privacy-policy.txt,Children's Privacy
OpenAI,xAI,provide us with aggregate information and analytics about,provide us with aggregate information and analytics about,privacy_policies/new_unique_text_PP/OpenAI_EU_PP/20231115012513/eu-privacy-policy.txt,privacy_policies/new_unique_text_PP/xAI_PP/20241110065240/privacy-policy.txt,Identifiability
DeepSeek,OpenAI,"your rights depending on where you live, you may have","your rights depending on where you live, you may have",privacy_policies/new_unique_text_PP/DeepSeek_old_PP/20240323213732/DeepSeek%20Privacy%20Policy.txt,privacy_policies/new_unique_text_PP/OpenAI_PP/20241203173911/privacy-policy.txt,Other
Alibaba,Anthropic,"to send you marketing communications, where you have signed up to receive them","to send you marketing communications, where you have signed up to receive them",privacy_policies/new_unique_text_PP/Alibaba_old_PP/20250120114200/Qwen.txt,privacy_policies/new_unique_text_PP/Anthropic_PP/20240225205441/privacy.txt,User Choice/Control
Anthropic,OpenAI,"for information about how we collect and use personal data to develop our language models that power our services, and your choices with respect to that information, please see","for information about how we collect and use training information to develop our language models that power <PROVIDER> and other services, and your choices with respect to that information, please see",privacy_policies/new_unique_text_PP/Anthropic_PP/20241219083518/privacy.txt,privacy_policies/new_unique_text_PP/OpenAI_EU_PP/20231222085448/eu-privacy-policy.txt,Model Training
Alibaba,OpenAI,"protect the rights, privacy, safety, or property of","protect the rights, privacy, safety, or property of our users, us, our affiliates, or any third party to comply with legal obligations and to protect the rights, privacy, safety, or property of",privacy_policies/new_unique_text_PP/Alibaba_old_PP/20250120114200/Qwen.txt,privacy_policies/new_unique_text_PP/OpenAI_EU_PP/20231222085448/eu-privacy-policy.txt,Third Party Sharing/Collection
Alibaba,Anthropic,"we appreciate feedback, including ideas and suggestions for improvement or rating an output in response to a prompt. if you rate an output in response to a prompt—for example, by using the thumbs up/thumbs down icon—we will store the related conversation as part of your feedback. communication information: if you communicate with us, such as via email or our pages on social media sites, we may collect personal data such as your name, contact information, and the contents of","we appreciate feedback, including ideas and suggestions for improvement or rating an output in response to an input (""feedback""). if you rate an output in response to an input—for example, by using the thumbs up/thumbs down icon—we will store the related conversation as part of your feedback. feedback on your use of our services: feedback communication information:if you communicate with us, including via our social media accounts, we collect your name, contact information, and the contents of",privacy_policies/new_unique_text_PP/Alibaba_PP/20250425000000/Qwen.txt,privacy_policies/new_unique_text_PP/Anthropic_PP/20240607083447/privacy.txt,First-party Data Collection
OpenAI,xAI,"in addition, the companies that host our social","in addition, the companies that host our social",privacy_policies/new_unique_text_PP/OpenAI_EU_PP/20231115012513/eu-privacy-policy.txt,privacy_policies/new_unique_text_PP/xAI_PP/20241110065240/privacy-policy.txt,Third Party Sharing/Collection
Anthropic,OpenAI,"in the european economic area ( <JURISDICTION> ), <JURISDICTION> or <JURISDICTION>","in the european economic area ( <JURISDICTION> ), <JURISDICTION> , or <JURISDICTION>",privacy_policies/new_unique_text_PP/Anthropic_PP/20240514182120/privacy.txt,privacy_policies/new_unique_text_PP/OpenAI_EU_PP/20231222085448/eu-privacy-policy.txt,International and Specific Audiences
Anthropic,DeepSeek,"rights, you or an authorized agent may submit a request by emailing us at <EMAIL> . once we receive your request, we may verify it by requesting information sufficient to confirm your identity. you may also have the right to appeal requests that we deny by emailing <EMAIL>","rights, you or an authorized agent may submit a request by emailing us <EMAIL> . to exercise your rights, you or an authorized agent may submit a request by emailing us at <EMAIL> after we receive your request, we may verify it by requesting information sufficient to confirm your identity or authority to exercise a right on behalf of someone else. you may also have the right to appeal requests that we deny by <EMAIL> . if your appeal is unsuccessful and depending on where you live, you may have the right to raise a concern or lodge a complaint with the competent authority. you may also have the right to appeal requests that we deny by emailing <EMAIL>",privacy_policies/new_unique_text_PP/Anthropic_old_PP/20230309171545/legal.txt,privacy_policies/new_unique_text_PP/DeepSeek_PP/20260103103801/deepseek-privacy-policy.txt,"User Access, Edit and Deletion"
Cohere,OpenAI,we may update this policy from time to time,we may update this policy from time to time,privacy_policies/new_unique_text_PP/Cohere_PP/20260412090021/privacy.txt,privacy_policies/new_unique_text_PP/OpenAI_EU_PP/20260210064516/index.txt,Policy Change
Anthropic,OpenAI,personal data for the following purposes: to provide and,personal data for the following purposes: to provide and,privacy_policies/new_unique_text_PP/Anthropic_PP/20240225205441/privacy.txt,privacy_policies/new_unique_text_PP/OpenAI_EU_PP/20231222085448/eu-privacy-policy.txt,Other
Anthropic,xAI,"that we process on behalf of customers of our business offerings, such as","that we process on behalf of customers of our business offerings, such as",privacy_policies/new_unique_text_PP/Anthropic_PP/20260609035417/privacy.txt,privacy_policies/new_unique_text_PP/xAI_PP/20250215010404/privacy-policy.txt,Introductory
Alibaba,DeepSeek,"information that your browser or device automatically sends when you use our services. this may include the brand, model, and id of your device, your internet protocol (ip)address, browser type and settings, the date and time of your request, and how you interact with our services. information we automatically collect during your use of the services usage data : we may collect information about your use of the services, such as the types of content that you view or engage with, the features you use and the actions you take","information that your browser or device automatically sends when you use our services. log data includes your internet protocol address, browser type and settings, the date and time of your request, and how you interact with our services. log data usage information. we collect information regarding your use of the services, such as the features you use and the actions you take",privacy_policies/new_unique_text_PP/Alibaba_PP/20250425000000/Qwen.txt,privacy_policies/new_unique_text_PP/DeepSeek_old_PP/20240520220020/DeepSeek%20Privacy%20Policy.txt,First-party Data Collection
OpenAI,xAI,"information that is publicly available on the internet, in particular to develop the models that power our services. we also receive information from our trusted partners, such as security partners to protect against fraud, abuse, and other security threats to our services","information that is publicly available on the internet. in some instances, this data may include personal information. third-party datasets: the service may use datasets from third-party businesses and partners, including from security partners to protect against fraud, abuse, and other security threats to our services",privacy_policies/new_unique_text_PP/OpenAI_EU_PP/20231222085448/eu-privacy-policy.txt,privacy_policies/new_unique_text_PP/xAI_PP/20250124023459/privacy-policy.txt,Data Security
Anthropic,xAI,this information—but due to the technical complexity,this information — but due to the technical complexity,privacy_policies/new_unique_text_PP/Anthropic_PP/20240225205441/privacy.txt,privacy_policies/new_unique_text_PP/xAI_PP/20241110065240/privacy-policy.txt,Other
DeepSeek,OpenAI,"a note about accuracy: services like <PROVIDER> generate responses by reading a user’s request and, in response, predicting the words most likely to appear next. in some cases, the words most likely to appear next may not be the most factually accurate. for this reason, you should not rely on the factual accuracy of output from our models. if you notice that output contains factually inaccurate personal data about you and you would like to request a correction or removal of the personal data, you can submit these requests <EMAIL> we will consider your request based on applicable law and the technical capabilities of our models. for this reason, you should not rely on the factual accuracy of output from our models. if you notice that output contains factually inaccurate personal data about you and you would like to request a correction or removal of the personal data, you can submit these requests <EMAIL> we will consider your request based on applicable law and the technical capabilities of our models","a note about accuracy: services like <PROVIDER> generate responses by reading a user’s request and, in response, predicting the words most likely to appear next. in some cases, the words most likely to appear next may not be the most factually accurate. for this reason, you should not rely on the factual accuracy of output from our models. if you notice that <PROVIDER> output contains factually inaccurate information about you and you would like to request a correction or removal of the information, you can submit these requests throughprivacy. <PROVIDER> .com⁠(opens in a new window)or <EMAIL> , and we will consider your request based on applicable law and the technical capabilities of our models. for",privacy_policies/new_unique_text_PP/DeepSeek_PP/20260103103801/deepseek-privacy-policy.txt,privacy_policies/new_unique_text_PP/OpenAI_PP/20260411024103/index.txt,"User Access, Edit and Deletion"
Alibaba,OpenAI,"you can exercise some of these rights through your service account. if you are unable to exercise your rights through your account, please submit your request","you can exercise some of these rights through your <PROVIDER> account using the tools describedin the data controls section⁠. if you are unable to exercise your rights through your account, please submit your request",privacy_policies/new_unique_text_PP/Alibaba_old_PP/20250120114200/Qwen.txt,privacy_policies/new_unique_text_PP/OpenAI_EU_PP/20260210064516/index.txt,"User Access, Edit and Deletion"
DeepSeek,OpenAI,"however, no internet or email transmission is ever fully secure or error free. in particular, emails sent to or from us may not be secure.therefore, you should take special care in deciding what information you send to us via the services or email. in addition, we are not responsible for circumvention of any privacy settings or security measures contained on the service, or third-party websites. therefore, you should take special care in deciding what information you send to us via the services or email. in addition, we are not responsible for circumvention of any privacy settings or security measures contained on the service, or third-party websites","however, no internet or email transmission is ever fully secure or error free. therefore, you should take special care in deciding what information you provide to the services. in addition, we are not responsible for circumvention of any privacy settings or security measures contained on the service, or third-party websites",privacy_policies/new_unique_text_PP/DeepSeek_PP/20250214185351/deepseek-privacy-policy.txt,privacy_policies/new_unique_text_PP/OpenAI_EU_PP/20241104000000/eu-privacy-policy.txt,Data Security
OpenAI,xAI,or de-identify your personal information (so that it,or de-identify your personal information so that it,privacy_policies/new_unique_text_PP/OpenAI_PP/20230314210410/privacy-policy.txt,privacy_policies/new_unique_text_PP/xAI_PP/20250124023459/privacy-policy.txt,Identifiability
OpenAI,xAI,information”). social media information: we have pages on,information. social media information:we have pages on,privacy_policies/new_unique_text_PP/OpenAI_EU_PP/20231115012513/eu-privacy-policy.txt,privacy_policies/new_unique_text_PP/xAI_PP/20260306150809/privacy-policy.txt,First-party Data Collection
Anthropic,DeepSeek,may update this privacy policy from time to time,may update this privacy policy from time to time,privacy_policies/new_unique_text_PP/Anthropic_old_PP/20230309171545/legal.txt,privacy_policies/new_unique_text_PP/DeepSeek_old_PP/20240323213732/DeepSeek%20Privacy%20Policy.txt,Policy Change
Alibaba,OpenAI,"to prevent fraud, illegal activity, or misuses of our","to prevent fraud, illegal activity, or misuses of our",privacy_policies/new_unique_text_PP/Alibaba_old_PP/20250120114200/Qwen.txt,privacy_policies/new_unique_text_PP/OpenAI_PP/20241203173911/privacy-policy.txt,Data Security
Anthropic,Mistral,process your personal data when you use our,process your personal data when you use our,privacy_policies/new_unique_text_PP/Anthropic_PP/20240225205441/privacy.txt,privacy_policies/new_unique_text_PP/Mistral_old_PP/20231211094117/Policy.txt,First-party Data Collection
OpenAI,xAI,"our use of cookies, please read our cookie","our use of cookies, please read our cookie",privacy_policies/new_unique_text_PP/OpenAI_EU_PP/20241104000000/eu-privacy-policy.txt,privacy_policies/new_unique_text_PP/xAI_PP/20260306150809/privacy-policy.txt,First-party Data Collection
DeepSeek,OpenAI,"contact information, and the contents of any messages you send","contact information, and the contents of any messages you send",privacy_policies/new_unique_text_PP/DeepSeek_old_PP/20240520220020/DeepSeek%20Privacy%20Policy.txt,privacy_policies/new_unique_text_PP/OpenAI_PP/20230227230602/privacy-policy.txt,First-party Data Collection
Alibaba,OpenAI,and to protect the security of our systems,and to protect the security of our systems,privacy_policies/new_unique_text_PP/Alibaba_old_PP/20250120114200/Qwen.txt,privacy_policies/new_unique_text_PP/OpenAI_EU_PP/20231222085448/eu-privacy-policy.txt,Data Security
Alibaba,OpenAI,"including your prompts and other content you upload, such as","including your prompts and other content you upload, such as",privacy_policies/new_unique_text_PP/Alibaba_PP/20250410000000/Qwen.txt,privacy_policies/new_unique_text_PP/OpenAI_EU_PP/20241104000000/eu-privacy-policy.txt,Model Training
DeepSeek,OpenAI,"compliance with our legal obligations when we use your personal data to comply with applicable law or when we protect our or our affiliates’, users’, or third parties’ rights, safety, and property.our legitimate interests to ensure that the platform is safe and secure. compliance with our legal obligations when we use your personal data to comply with applicable law or when we protect our or our affiliates",compliance with our legal obligations when we use your personal information to comply with applicable law or when we protect our or our affiliates,privacy_policies/new_unique_text_PP/DeepSeek_PP/20250214185351/deepseek-privacy-policy.txt,privacy_policies/new_unique_text_PP/OpenAI_PP/20230314210410/privacy-policy.txt,Data Security
OpenAI,xAI,"for details about our use of cookies, please read","for details about our use of cookies, please read",privacy_policies/new_unique_text_PP/OpenAI_EU_PP/20241104000000/eu-privacy-policy.txt,privacy_policies/new_unique_text_PP/xAI_PP/20260405054535/privacy-policy.txt,First-party Data Collection
DeepSeek,OpenAI,"from our trusted partners, such as security partners, to protect against fraud, abuse, and","from our trusted partners, such as security partners to protect against fraud, abuse, and",privacy_policies/new_unique_text_PP/DeepSeek_PP/20250704000000/deepseek-privacy-policy.txt,privacy_policies/new_unique_text_PP/OpenAI_EU_PP/20231222085448/eu-privacy-policy.txt,Data Security
OpenAI,xAI,"facebook, medium, x, youtube and linkedin. when you","facebook, medium, x, youtube and linkedin. when you",privacy_policies/new_unique_text_PP/OpenAI_EU_PP/20231222085448/eu-privacy-policy.txt,privacy_policies/new_unique_text_PP/xAI_PP/20241110065240/privacy-policy.txt,Other
DeepSeek,OpenAI,"for this reason, you should not rely on the factual accuracy of output from our models. if you notice that","for this reason, you should not rely on the factual accuracy of output from our models. if you notice that",privacy_policies/new_unique_text_PP/DeepSeek_PP/20250214185351/deepseek-privacy-policy.txt,privacy_policies/new_unique_text_PP/OpenAI_PP/20230428055017/privacy-policy.txt,Model Training
OpenAI,xAI,"by using our services, you understand and acknowledge","by using our services, you understand and acknowledge",privacy_policies/new_unique_text_PP/OpenAI_EU_PP/20231222085448/eu-privacy-policy.txt,privacy_policies/new_unique_text_PP/xAI_PP/20231106075325/privacy-policy.txt,Other
OpenAI,xAI,<EMAIL> . verification: in order to protect your personal information,<EMAIL> . verification: in order to protect your personal information,privacy_policies/new_unique_text_PP/OpenAI_PP/20230227230602/privacy-policy.txt,privacy_policies/new_unique_text_PP/xAI_PP/20231106075325/privacy-policy.txt,Data Security
DeepSeek,Mistral,how long do we keep your personal data we,how long do we keep your personal data? we,privacy_policies/new_unique_text_PP/DeepSeek_PP/20250704000000/deepseek-privacy-policy.txt,privacy_policies/new_unique_text_PP/Mistral_PP/20250527000000/terms.txt,Data Retention
OpenAI,xAI,"x, youtube and linkedin. when you interact with","x, youtube, and linkedin. when you interact with",privacy_policies/new_unique_text_PP/OpenAI_EU_PP/20231222085448/eu-privacy-policy.txt,privacy_policies/new_unique_text_PP/xAI_PP/20260306150809/privacy-policy.txt,Other
Anthropic,Mistral,to train our models. we take steps to,to train our models. we take steps to,privacy_policies/new_unique_text_PP/Anthropic_PP/20240304151321/privacy.txt,privacy_policies/new_unique_text_PP/Mistral_old_PP/20231211094117/Policy.txt,Model Training
