case_hash,occurrence_count,company_a,company_b,representative_text_a,representative_text_b,representative_path_a,representative_path_b,category
043603602bbf621f97c7ab9dcb13340864729d6f,1,Anthropic,xAI,"subject to certain exceptions. please note that we cannot guarantee the factual accuracy of outputs. if outputs contain factually inaccurate personal data relating to you, you can submit a correction request and we will make every effort to correct this information—but due to the technical complexity of our large language models, it may not always be possible for us to do so","subject to certain exceptions.please note that we cannot guarantee the factual accuracy of output from our models. if output contains factually inaccurate personal information relating to you, you can submit a correction request and we will make every effort to correct this information — but due to the technical complexity of our models, it may not always be possible for us to do so",Anthropic_PP\20240225205441\privacy.txt,xAI_PP\20250103080755\privacy-policy.txt,User Access/Edit/Deletion
045267e24d3bd3abad8293c3f7ceac6ec45f1f46,3,DeepSeek,OpenAI,"information that your browser or device automatically sends when you use our services. log data includes your internet protocol address, browser type and settings, the date and time of your request, and how you interact with our services. log data usage information. we collect information regarding your use of the services, such as the features you use and the actions you take. usage information device information. we collect certain information about the device you use to access the services, such as","information that your browser or device automatically sends when you use our services. log data includes your internet protocol address, browser type and settings, the date and time of your request, and how you interact with our services. usage data: we collect information about your use of the services, such as the types of content that you view or engage with, the features you use and the actions you take, as well as your time zone, country, the dates and times of access, user agent and version, type of computer or mobile device, and your computer connection. device information: we collect information about the device you use to access the services, such as",DeepSeek_old_PP\20240520220020\DeepSeek%20Privacy%20Policy.txt,OpenAI_EU_PP\20241104000000\eu-privacy-policy.txt,First-party Data Collection
0466b963e8c614e44c8b2da2179bc2467a3f9698,40,Anthropic,DeepSeek,"our business, employees and users from illegal activities","our business, employees and users from illegal activities",Anthropic_PP\20240304151321\privacy.txt,DeepSeek_PP\20250214185351\deepseek-privacy-policy.txt,Other
04c3a18c23b3a8be02f601493fa377ddea0c6142,40,Anthropic,OpenAI,"collect your name, contact information, and the contents of any messages you send. communication information","collect your name, contact information, and the contents of any messages you send (“communication information",Anthropic_PP\20240607083447\privacy.txt,OpenAI_PP\20230314210410\privacy-policy.txt,First-party Data Collection
0500ed809f90c701bb3c6eaa986bba3909f5ac18,22,Anthropic,Mistral,"you have the right to lodge a complaint with the supervisory authority in the eu country in which you live or work. a full list of eu supervisory authorities’ contact details is available here . if you live or work in the <JURISDICTION> , you have the right to lodge a complaint",you have the right to lodge a complaint,Anthropic_old_PP\20230309171545\legal.txt,Mistral_old_PP\20231211094117\Policy.txt,International & Special Audiences
053235e91610618ab66fba0599f24d4420ba5246,77,OpenAI,xAI,our use of your information to train our,our use of your information to train our,OpenAI_EU_PP\20231115012513\eu-privacy-policy.txt,xAI_PP\20241117131907\privacy-policy.txt,Model Training
053f0282b039dfb7c5c5500cfab1101dd7a51bec,40,DeepSeek,xAI,of all or a portion of our business,of all or a portion of our business,DeepSeek_old_PP\20241212153808\DeepSeek%20Privacy%20Policy.txt,xAI_PP\20241110065240\privacy-policy.txt,Other
05428669fd7267e4f4f3e9c45f741f1587d1250a,6,OpenAI,xAI,"for individuals in the european economic area, <JURISDICTION> , and <JURISDICTION>","for individuals in the european economic area, <JURISDICTION> , and <JURISDICTION>",OpenAI_PP\20241203173911\privacy-policy.txt,xAI_PP\20250215010404\privacy-policy.txt,International & Special Audiences
054368cb286f48c14859a7901ce800af3660c4ab,6,Alibaba,OpenAI,"to prevent fraud, illegal activity, or misuses of","to prevent fraud, illegal activity, or misuses of",Alibaba_old_PP\20250120114200\Qwen.txt,OpenAI_EU_PP\20241104000000\eu-privacy-policy.txt,Data Security
0586f67e46761445af43648fc502b7c392a4721f,55,DeepSeek,OpenAI,"to comply with applicable law or when we protect our or our affiliates’, users’, or third parties’ rights, safety, and property","to comply with applicable law or when we protect our or our affiliates’, users’, or third parties’ rights, safety, and property",DeepSeek_PP\20250214185351\deepseek-privacy-policy.txt,OpenAI_EU_PP\20231115012513\eu-privacy-policy.txt,Third-Party Sharing/Collection
05ae3f5657d764b96323e97085630b3bfae7209a,10,Anthropic,OpenAI,"with you, such as processing your contact information","with you, such as processing your contact information",Anthropic_PP\20241219083518\privacy.txt,OpenAI_EU_PP\20231222085448\eu-privacy-policy.txt,First-party Data Collection
05dc1536d6c5823f635a8706a212a9059b930f05,3,Alibaba,OpenAI,"the rights, privacy, safety, or property of our","the rights, privacy, safety, or property of our users, us, our affiliates, or any third party to comply with legal obligations and to protect the rights, privacy, safety, or property of our",Alibaba_old_PP\20250120114200\Qwen.txt,OpenAI_EU_PP\20231222085448\eu-privacy-policy.txt,Third-Party Sharing/Collection
066291094233470faf53effe86fdd64e3fa90652,48,OpenAI,xAI,the right to request deletion of your personal information; the right to,the right to request deletion of your personal information. the right to,OpenAI_EU_PP\20231115012513\eu-privacy-policy.txt,xAI_PP\20250103080755\privacy-policy.txt,User Access/Edit/Deletion
06c61e9bcb090a5ccb1649f13fa487dc3837497c,256,Anthropic,OpenAI,you have the right to withdraw your consent,you have the right to withdraw your consent,Anthropic_PP\20240225205441\privacy.txt,OpenAI_EU_PP\20231115012513\eu-privacy-policy.txt,User Choice/Control
070df5dbfd2bc03b6f32923301a19c2d6121fb51,16,Anthropic,xAI,violations of our terms including misuse of services,"violations of our terms including misuse of services, fraud, abuse, and other trust and safety protocols; detecting, preventing, and enforcing violations of our terms including misuse of services",Anthropic_PP\20240225205441\privacy.txt,xAI_PP\20241117131907\privacy-policy.txt,Data Security
074e5a6a6e4ad0320f3780e7f61e5cddd1259625,8,OpenAI,xAI,"like instagram, facebook, medium, x, youtube and linkedin","like instagram, facebook, medium, x, youtube and linkedin",OpenAI_EU_PP\20231222085448\eu-privacy-policy.txt,xAI_PP\20241110065240\privacy-policy.txt,Other
075ecb217098594a7e4ac2d6a3edbce3fadec8d3,3,Alibaba,OpenAI,"how to contact us if you have any questions about this privacy policy, or",how to contact us if you have any questions about this privacy policy or,Alibaba_old_PP\20250120114200\Qwen.txt,OpenAI_old_PP\20220323134726\privacy.txt,Other
0764762582b9f5b7fb69be9c316ad2f414ed11b0,2,OpenAI,xAI,"we use cookies and similar technologies to operate and administer our services, and improve your experience. for details about our use of cookies, please visit ourcookie notice. personal data we receive from other sources:we collect information from other sources, like information that is publicly available on the internet","we use cookies and similar technologies to operate and administer our services, and improve your experience. if you use our services without creating an account, we may store some of the information described in this privacy policy with cookies, for example to help maintain your preferences across browsing sessions. for details about our use of cookies, please read ourcookie policy. 2.3 personal information we receive from other sources 2.3 personal information we receive from other sources the personal information we receive from other sources may include: publicly available data: we use information that is publicly available on the internet",OpenAI_EU_PP\20231222085448\eu-privacy-policy.txt,xAI_PP\20250124023459\privacy-policy.txt,First-party Data Collection
0765b19383792cdb7be5cb70861571af0dc3ff3d,5,DeepSeek,OpenAI,"automatically sends when you use our services. log data includes your internet protocol address, browser type and settings, the date and time of your request, and how you interact with our services. log data usage information. we collect information regarding your use of the services, such as the features you use and the actions you take","automatically sends when you use our services. log data includes your internet protocol address, browser type and settings, the date and time of your request, and how you interact with our website. usage data: we may automatically collect information about your use of the services, such as the types of content that you view or engage with, the features you use and the actions you take",DeepSeek_old_PP\20240520220020\DeepSeek%20Privacy%20Policy.txt,OpenAI_EU_PP\20231115012513\eu-privacy-policy.txt,First-party Data Collection
078f9b9a7cb9c8533e732d8c9cd4cda8a415f247,3,Alibaba,OpenAI,"our services are not directed to, or intended for, children under 13 (or the age stipulated by applicable laws and regulations in your jurisdiction). we do not knowingly collect personal data from children under 13. if you have reason to believe that a child under 13 has provided personal data to us through the services, please contact us through the channel disclosed in this privacy policy. we will investigate any notification and, if appropriate, delete the personal data from our systems","our services are not directed to, or intended for, children under 13. we do not knowingly collect personal data from children under 13. if you have reason to believe that a child under 13 has provided personal data to <PROVIDER> through the services, please email us at <EMAIL> ⁠. we will investigate any notification and, if appropriate, delete the personal data from our systems",Alibaba_old_PP\20250120114200\Qwen.txt,OpenAI_EU_PP\20241104000000\eu-privacy-policy.txt,Children's Privacy
07933bdca4f3c5e70592c5c20e36d7e9219ec051,136,OpenAI,xAI,provide us with aggregate information and analytics about,provide us with aggregate information and analytics about,OpenAI_EU_PP\20231115012513\eu-privacy-policy.txt,xAI_PP\20241110065240\privacy-policy.txt,Identifiability
07a5b91a0f45d57af4fd0279662e01cb0e0c6264,10,DeepSeek,OpenAI,"your rights depending on where you live, you may have","your rights depending on where you live, you may have",DeepSeek_old_PP\20240323213732\DeepSeek%20Privacy%20Policy.txt,OpenAI_PP\20241203173911\privacy-policy.txt,Other
0822601b7b44067909d9240f0a8dfec43b8b91be,24,Alibaba,Anthropic,"to send you marketing communications, where you have signed up to receive them","to send you marketing communications, where you have signed up to receive them",Alibaba_old_PP\20250120114200\Qwen.txt,Anthropic_PP\20240225205441\privacy.txt,User Choice/Control
085d9128f4dc659895a24de6284d387519fecf97,4,Anthropic,OpenAI,"for information about how we collect and use personal data to develop our language models that power our services, and your choices with respect to that information, please see","for information about how we collect and use training information to develop our language models that power <PROVIDER> and other services, and your choices with respect to that information, please see",Anthropic_PP\20241219083518\privacy.txt,OpenAI_EU_PP\20231222085448\eu-privacy-policy.txt,Model Training
086b1a82f00ca034cd0cdb9689a48cc7c85b00f6,3,Alibaba,OpenAI,"protect the rights, privacy, safety, or property of","protect the rights, privacy, safety, or property of our users, us, our affiliates, or any third party to comply with legal obligations and to protect the rights, privacy, safety, or property of",Alibaba_old_PP\20250120114200\Qwen.txt,OpenAI_EU_PP\20231222085448\eu-privacy-policy.txt,Third-Party Sharing/Collection
08c5112c39dc19e7159c4e45a2d51354cfe18ef3,3,Alibaba,Anthropic,"we appreciate feedback, including ideas and suggestions for improvement or rating an output in response to a prompt. if you rate an output in response to a prompt—for example, by using the thumbs up/thumbs down icon—we will store the related conversation as part of your feedback. communication information: if you communicate with us, such as via email or our pages on social media sites, we may collect personal data such as your name, contact information, and the contents of","we appreciate feedback, including ideas and suggestions for improvement or rating an output in response to an input (""feedback""). if you rate an output in response to an input—for example, by using the thumbs up/thumbs down icon—we will store the related conversation as part of your feedback. feedback on your use of our services: feedback communication information:if you communicate with us, including via our social media accounts, we collect your name, contact information, and the contents of",Alibaba_PP\20250425000000\Qwen.txt,Anthropic_PP\20240607083447\privacy.txt,First-party Data Collection
092d4fef51103e4d237771ac64c61532e36fb29e,144,OpenAI,xAI,"in addition, the companies that host our social","in addition, the companies that host our social",OpenAI_EU_PP\20231115012513\eu-privacy-policy.txt,xAI_PP\20241110065240\privacy-policy.txt,Third-Party Sharing/Collection
094a648687f8b69d318d73551b62cc8a38172257,7,Anthropic,OpenAI,"in the european economic area ( <JURISDICTION> ), <JURISDICTION> or <JURISDICTION>","in the european economic area ( <JURISDICTION> ), <JURISDICTION> , or <JURISDICTION>",Anthropic_PP\20240514182120\privacy.txt,OpenAI_EU_PP\20231222085448\eu-privacy-policy.txt,International & Special Audiences
0a078a210d2cc6436efbae7acf9e2b0a01fc5856,5,Anthropic,OpenAI,personal data for the following purposes: to provide and,personal data for the following purposes: to provide and,Anthropic_PP\20240225205441\privacy.txt,OpenAI_EU_PP\20231222085448\eu-privacy-policy.txt,Other
0a90039935e6943eda4ef6bd8f29a06ca024c37e,1,Alibaba,DeepSeek,"information that your browser or device automatically sends when you use our services. this may include the brand, model, and id of your device, your internet protocol (ip)address, browser type and settings, the date and time of your request, and how you interact with our services. information we automatically collect during your use of the services usage data : we may collect information about your use of the services, such as the types of content that you view or engage with, the features you use and the actions you take","information that your browser or device automatically sends when you use our services. log data includes your internet protocol address, browser type and settings, the date and time of your request, and how you interact with our services. log data usage information. we collect information regarding your use of the services, such as the features you use and the actions you take",Alibaba_PP\20250425000000\Qwen.txt,DeepSeek_old_PP\20240520220020\DeepSeek%20Privacy%20Policy.txt,First-party Data Collection
0ae775a5644d27da5bde8368041eb4e306454738,2,OpenAI,xAI,"information that is publicly available on the internet, in particular to develop the models that power our services. we also receive information from our trusted partners, such as security partners to protect against fraud, abuse, and other security threats to our services","information that is publicly available on the internet. in some instances, this data may include personal information. third-party datasets: the service may use datasets from third-party businesses and partners, including from security partners to protect against fraud, abuse, and other security threats to our services",OpenAI_EU_PP\20231222085448\eu-privacy-policy.txt,xAI_PP\20250124023459\privacy-policy.txt,Data Security
0b04cdb17b30de9131f0e1869f4ccac7930ca3eb,66,Anthropic,xAI,this information—but due to the technical complexity,this information — but due to the technical complexity,Anthropic_PP\20240225205441\privacy.txt,xAI_PP\20241110065240\privacy-policy.txt,Other
0b859a824f26fcd1296bc7517188388a76f091d4,6,DeepSeek,OpenAI,"however, no internet or email transmission is ever fully secure or error free. in particular, emails sent to or from us may not be secure.therefore, you should take special care in deciding what information you send to us via the services or email. in addition, we are not responsible for circumvention of any privacy settings or security measures contained on the service, or third-party websites. therefore, you should take special care in deciding what information you send to us via the services or email. in addition, we are not responsible for circumvention of any privacy settings or security measures contained on the service, or third-party websites","however, no internet or email transmission is ever fully secure or error free. therefore, you should take special care in deciding what information you provide to the services. in addition, we are not responsible for circumvention of any privacy settings or security measures contained on the service, or third-party websites",DeepSeek_PP\20250214185351\deepseek-privacy-policy.txt,OpenAI_EU_PP\20241104000000\eu-privacy-policy.txt,Data Security
0b8eac63525916ea67280dff1fbed98a1cdab64b,16,OpenAI,xAI,or de-identify your personal information (so that it,or de-identify your personal information so that it,OpenAI_PP\20230314210410\privacy-policy.txt,xAI_PP\20250124023459\privacy-policy.txt,Identifiability
0c10c7736d7b76b52e8643beb1db3ab308a87d4f,78,Anthropic,DeepSeek,may update this privacy policy from time to time,may update this privacy policy from time to time,Anthropic_old_PP\20230309171545\legal.txt,DeepSeek_old_PP\20240323213732\DeepSeek%20Privacy%20Policy.txt,Policy Change
0c64b8c72ac077ed5670f8e70c8b4137d79e0b99,6,Alibaba,OpenAI,"to prevent fraud, illegal activity, or misuses of our","to prevent fraud, illegal activity, or misuses of our",Alibaba_old_PP\20250120114200\Qwen.txt,OpenAI_PP\20241203173911\privacy-policy.txt,Data Security
0c940a85649c66b45deb46bdb129b4edb10e72c7,8,Anthropic,Mistral,process your personal data when you use our,process your personal data when you use our,Anthropic_PP\20240225205441\privacy.txt,Mistral_old_PP\20231211094117\Policy.txt,First-party Data Collection
0d3d6ecb4244c56f4e15663b6274db32ec014540,9,DeepSeek,OpenAI,"contact information, and the contents of any messages you send","contact information, and the contents of any messages you send",DeepSeek_old_PP\20240520220020\DeepSeek%20Privacy%20Policy.txt,OpenAI_PP\20230227230602\privacy-policy.txt,First-party Data Collection
0d58dfc65cbb423505964afbb29dab454fa141c3,21,Alibaba,OpenAI,and to protect the security of our systems,and to protect the security of our systems,Alibaba_old_PP\20250120114200\Qwen.txt,OpenAI_EU_PP\20231222085448\eu-privacy-policy.txt,Data Security
0df076e1d3b1b24b9a77a54b046c4bb96f3ced26,6,Alibaba,OpenAI,"including your prompts and other content you upload, such as","including your prompts and other content you upload, such as",Alibaba_PP\20250410000000\Qwen.txt,OpenAI_EU_PP\20241104000000\eu-privacy-policy.txt,Model Training
0e2a51ce898e2867c64f775900876fc04a11f8f3,10,DeepSeek,OpenAI,"compliance with our legal obligations when we use your personal data to comply with applicable law or when we protect our or our affiliates’, users’, or third parties’ rights, safety, and property.our legitimate interests to ensure that the platform is safe and secure. compliance with our legal obligations when we use your personal data to comply with applicable law or when we protect our or our affiliates",compliance with our legal obligations when we use your personal information to comply with applicable law or when we protect our or our affiliates,DeepSeek_PP\20250214185351\deepseek-privacy-policy.txt,OpenAI_PP\20230314210410\privacy-policy.txt,Data Security
0e595487a9ec74d725041e146b135338d1f7b7bd,1,DeepSeek,OpenAI,"from our trusted partners, such as security partners, to protect against fraud, abuse, and","from our trusted partners, such as security partners to protect against fraud, abuse, and",DeepSeek_PP\20250704000000\deepseek-privacy-policy.txt,OpenAI_EU_PP\20231222085448\eu-privacy-policy.txt,Data Security
0eb5d51da0de9668d7f181121678c0cb7d916f89,8,OpenAI,xAI,"facebook, medium, x, youtube and linkedin. when you","facebook, medium, x, youtube and linkedin. when you",OpenAI_EU_PP\20231222085448\eu-privacy-policy.txt,xAI_PP\20241110065240\privacy-policy.txt,Other
0ee7205437efa53c5d2f8e7f60720954b94a42be,6,DeepSeek,OpenAI,"for this reason, you should not rely on the factual accuracy of output from our models. if you notice that","for this reason, you should not rely on the factual accuracy of output from our models. if you notice that",DeepSeek_PP\20250214185351\deepseek-privacy-policy.txt,OpenAI_PP\20230428055017\privacy-policy.txt,Model Training
0f54cfce3fb52d84f1b28f65834b8b9aec5521f7,1,OpenAI,xAI,"by using our services, you understand and acknowledge","by using our services, you understand and acknowledge",OpenAI_EU_PP\20231222085448\eu-privacy-policy.txt,xAI_PP\20231106075325\privacy-policy.txt,Other
0fb6a0b5e7ad943b465e223963fcaa61b4c6ba26,1,OpenAI,xAI,<EMAIL> . verification: in order to protect your personal information,<EMAIL> . verification: in order to protect your personal information,OpenAI_PP\20230227230602\privacy-policy.txt,xAI_PP\20231106075325\privacy-policy.txt,Data Security
0fc68e96ed174eb6a56e961498a7ca79bb35f3ce,1,DeepSeek,Mistral,how long do we keep your personal data we,how long do we keep your personal data? we,DeepSeek_PP\20250704000000\deepseek-privacy-policy.txt,Mistral_PP\20250527000000\terms.txt,Data Retention
10779e7183527758c80896ff26d7b8ae65a9441f,8,Anthropic,Mistral,to train our models. we take steps to,to train our models. we take steps to,Anthropic_PP\20240304151321\privacy.txt,Mistral_old_PP\20231211094117\Policy.txt,Model Training
10aad2a760bb0f72483331ff4b8bdab32522c339,9,Anthropic,OpenAI,"to communicate with you, including to send you information about our services and events",to communicate with you; including to send you information about our services and events,Anthropic_PP\20241219083518\privacy.txt,OpenAI_PP\20231114221748\privacy-policy.txt,Other
11025778ddc992bec6a322a8fad67c65e800d984,9,OpenAI,xAI,"commercially reasonable technical, administrative, and organizational measures designed to protect personal data from loss, misuse, and unauthorized access, disclosure, alteration, or destruction. however, no","commercially reasonable technical, administrative, and organizational measures designed to protect personal information from loss, misuse, and unauthorized access, disclosure, alteration, or destruction. however, no",OpenAI_EU_PP\20241104000000\eu-privacy-policy.txt,xAI_PP\20250215010404\privacy-policy.txt,Data Security
1108ab3e447a9d9fca9c7055b8d2a88383a1d4bb,17,DeepSeek,OpenAI,to protect your personal information from unauthorized access,to protect your personal information from unauthorized access,DeepSeek_old_PP\20231208073102\DeepSeek%20Privacy%20Policy.txt,OpenAI_EU_PP\20231115012513\eu-privacy-policy.txt,Data Security
1114bfb7f31f432278de1c2cbb91bc042749e4e9,15,Anthropic,xAI,"internet or other electronic network activity information, including your","internet or other electronic network activity information, including your",Anthropic_old_PP\20230309171545\legal.txt,xAI_PP\20241110065240\privacy-policy.txt,Other
1116d9010e3f2ea92b3e696640022043b4ef0529,36,Alibaba,OpenAI,the privacy policy we may update this privacy policy from time to time,the privacy policy we may update this privacy policy from time to time,Alibaba_old_PP\20250120114200\Qwen.txt,OpenAI_EU_PP\20231115012513\eu-privacy-policy.txt,Policy Change
11866b5ccadfea16c8a10fb2812c72d5c1cffd63,8,OpenAI,xAI,you interact with our social media pages. we,"you interact with our social media pages, we",OpenAI_PP\20230227230602\privacy-policy.txt,xAI_PP\20241110065240\privacy-policy.txt,First-party Data Collection
127128a82cdcc59e5735bd34974f7278c8292482,20,Anthropic,OpenAI,"to perform a contract with you, such as","to perform a contract with you, such as",Anthropic_PP\20241219083518\privacy.txt,OpenAI_EU_PP\20231222085448\eu-privacy-policy.txt,Other
1277e3b96b5f45255daa8f701a151f5c203be986,9,OpenAI,xAI,"if you communicate with us, we may collect your name, contact","if you communicate with us we may collect your name, contact",OpenAI_PP\20230227230602\privacy-policy.txt,xAI_PP\20231106075325\privacy-policy.txt,First-party Data Collection
128eb8c8647ae814ef4d9c5f2b9cde2d19ecb667,2,Alibaba,OpenAI,protect the security of our systems and services - account information - user content,protect the security of our systems and services account information user content,Alibaba_old_PP\20250120114200\Qwen.txt,OpenAI_EU_PP\20241104000000\eu-privacy-policy.txt,Data Security
12ff311f80f6957e87ad74ea33020b6fb67afb27,1,Anthropic,xAI,"where applicable, we will collect your feedback (as defined in ourterms of service) regarding prompts and outputs, and use it under your authorization to train and improve our services. this might arise if, for example, you report that <PROVIDER> returned inaccurate information in an output, or","where applicable, we will collect your feedback (as defined in our terms of service). this might arise if, for example, in a given conversation with <PROVIDER> , you report that <PROVIDER> returned inaccurate information in an output or",Anthropic_PP\20240225205441\privacy.txt,xAI_PP\20250103080755\privacy-policy.txt,Model Training
1319fcac6f71945b6766b11862655db9ef669587,2,Alibaba,Anthropic,"we appreciate feedback, including ideas and suggestions for improvement or rating an output in response to a prompt. if you rate an output in response to a prompt—for example, by using the thumbs up/thumbs down icon—we will store the related conversation as part of your feedback. communication information: if you communicate with us, such as via email or our pages on social media sites, we may collect personal data such as your name, contact information, and the contents of","we appreciate feedback, including ideas and suggestions for improvement or rating an output in response to an input (""feedback""). if you rate an output in response to an input—for example, by using the thumbs up/thumbs down icon—we will store the entire related conversation as part of your feedback. you can learn more about how we use feedbackhere. feedback on your use of our services: feedback communication information:if you communicate with us, including via our chatbot on our help site, we collect your name, contact information, and the contents of",Alibaba_PP\20250425000000\Qwen.txt,Anthropic_PP\20241219083518\privacy.txt,First-party Data Collection
13ba307c1fe2bf6b2e0c53893e28ddd363552f11,10,DeepSeek,xAI,about our collection and use of your personal,about our collection and use of your personal,DeepSeek_old_PP\20240323213732\DeepSeek%20Privacy%20Policy.txt,xAI_PP\20241117131907\privacy-policy.txt,First-party Data Collection
13cc080050bd971384b650ebb492747bbdaf86b1,1,AI21,OpenAI,"legal obligations and to protect the rights, privacy","legal obligations and to protect the rights, privacy, safety, or property of our users, us, our affiliates, or any third party to comply with legal obligations and to protect the rights, privacy",AI21_PP\20250729000000\index.txt,OpenAI_EU_PP\20231222085448\eu-privacy-policy.txt,Third-Party Sharing/Collection
13df096b8ad49affa6674e849945b4c8c52b5be8,8,Anthropic,xAI,you report that <PROVIDER> returned inaccurate information in,you report that <PROVIDER> returned inaccurate information in,Anthropic_old_PP\20230330164702\legal.txt,xAI_PP\20241110065240\privacy-policy.txt,Other
148fd23c7608814c670318b31aebb491d65ebd8c,8,Anthropic,OpenAI,"for information about how we collect and use personal data to develop our language models that power our services, when we may receive and process personal data of non-users, and your choices with respect to that information, please see","for information about how we collect and use training information to develop our language models that power <PROVIDER> and other services, and your choices with respect to that information, please see",Anthropic_PP\20250220051131\privacy.txt,OpenAI_EU_PP\20231222085448\eu-privacy-policy.txt,Model Training
15015fbc359e48a4c3b912e707801d38a69b0bac,1,OpenAI,xAI,for more information on the sources of information used,for more information on the sources of information used,OpenAI_EU_PP\20231222085448\eu-privacy-policy.txt,xAI_PP\20250710000000\privacy-policy.txt,Other
1503d8c77fec53b9dd5e9acd3eacf914d5a8465b,32,Anthropic,xAI,your interests and rights do not override our,your interests and rights do not override our,Anthropic_PP\20240225205441\privacy.txt,xAI_PP\20241110065240\privacy-policy.txt,Other
1563dd07bc445a28f5d972efe5b2a4acb29898f7,3,Anthropic,DeepSeek,services. your consent when we ask for it,services. your consent when we ask for it,Anthropic_PP\20241219083518\privacy.txt,DeepSeek_PP\20250704000000\deepseek-privacy-policy.txt,Other
15e2b277c6b7737f9c11d09badba8ccec93ee879,3,Alibaba,OpenAI,"activity, or misuses of our services, and to","activity, or misuses of our services, and to protect the security of our systems and services to prevent fraud, criminal activity, or misuses of our services, and to",Alibaba_old_PP\20250120114200\Qwen.txt,OpenAI_EU_PP\20231222085448\eu-privacy-policy.txt,Data Security
